Ext,HDU,Keyword,Description,Units,Data Type,Value,Range,Source,Keep,comment
Current classes of headers are:,,,,,,,,,n,
- Observatory,,,,,,,,,n,
- CCD (R/G),,,,,,,,,n,
-telescope,,,,,,,,,n,
-queue,,,,,,,,,n,
-Archon,,,,,,,,,n,
-etalon,,,,,,,,,n,
-calibration,,,,,,,,,n,
-lfc,,,,,,,,,n,
-aux,,,,,,,,,n,
-vaccume_cart,,,,,,,,,n,
-crypt,,,,,,,,,n,
-electronics,,,,,,,,,n,
0,0,FIBERAPR,Fiber Aperture Diameter on Sky (arcsec),arcsec,float,,>=0,neid,y,
0,0,SHUTOPEN,Shutter-Open Date (UTC),UTC,DateTime,ex:'2020-12-20T01:41:48.123',>=0,neid,y,
0,0,SHUTCLSD,Shutter-Close Date (UTC),UTC,DateTime,ex:'2020-12-20T01:41:48.123',>=0,neid,y,
0,0,SCI-OBJ,Object in Science fiber,N/A,string,Sci/LFC/Etalon/Thar,,neid,y,
0,0,CAL-OBJ,Object in Calibration Fiber,N/A,string,Sci/LFC/Etalon/Thar,,neid,y,
0,0,SKY-OBJ,Object in Sky Fiber,N/A,string,Sky/Cal,,neid,y,
0,0,QTIME,Queue Data Time (UTC),DateTime,DateTime,2020-12-20T01:41:48.123',,neid,y,
0,0,QOBJECT,Queue Object Name,N/A,string,ex: 'Gaia DR2 2452378776434276992',,neid,y,
0,0,QRA,Queue Right Ascension,sexagesimal,string,HH:MM:SS.sss,0-24,neid,y,
0,0,QDEC,Queue Declination,sexagesimal,string,DD:mm:ss.sss,-90 - 90,neid,y,
0,0,QEQNX,Queue Equinox (yr),yr,float,2000,fixed,neid,y,
0,0,QEPOCH,Queue Epoch (yr),yr,float,2000,fixed,neid,y,
0,0,QPLX,Queue parallax (mas),mas,float,12.34,>=0,neid,y,
0,0,QPMRA,"Queue Proper Motion RA (""/yr)","""/yr",float,,N/A,neid,y,
0,0,QPMDEC,"Queue Proper Motion DEC (""/yr)","""/yr",float,,N/A,neid,y,
0,0,QPROG,Queue Program Number,NA,string,,N/A,neid,y,
0,0,QRV,Queue RV for Star,km/s,float,,N/A,neid,y,
0,0,QZ,Queue Z for Star,N/A,float,,N/A,neid,y,
0,0,QID,Queue ID,N/A,Ulong,,N/A,neid,y,
0,0,QSNR,Queue Signal-to-Noise Ratio,N/A,float,,>=0,neid,y,
0,0,QEXPTIME,Queue Exposure Time (s),s,float,,>=0,neid,y,
0,0,OBSERVAT,Observatory Name,N/A,string,Keck,fixed,neid,y,check keck compliance
0,0,TELESCOP,Telescope Name,N/A,string,Keck I,fixed,neid,y,
0,0,OBSLON,Observatory Longitude,degrees,float,,fixed,neid,y,
0,0,OBSLAT,Observatory Latitude,degrees,float,,fixed,neid,y,
0,0,OBSALT,Observatory Altitude,meters,float,,,neid,y,
0,0,SEEING,Seeing at Exp Start (arcsec),arcsec,float,,,neid,y,
0,0,AIRMASS,TCS-Telescope Airmass at Exp Start,airmass,float,,,neid,y,
0,0,FOCUSPOS,Telescope Focus Pos (mm),mm,float,,,neid,y,
0,0,LIGHTS,Dome Lights,,string,on/off,,neid,y,
0,0,TCSTIME,TCS-Telescope Data Date (UTC),,DateTime,2020-12-20T03:19:27',,neid,y,
0,0,TGTTIME,TCS-Target Data Date (UTC),,DateTime,,,neid,y,
0,0,TCSRA,TCS-Telescope RA J2000,HH:MM:SS,,"""1:44:7.508""",,neid,y,
0,0,TCSDEC, TCS-Telescope DEC J2000,HH:MM:SS,,ex: '00:01:12.36',,neid,y,
0,0,TCSRAOF, TCS-Telescope RA Offset J2000,HH:MM:SS,,ex: '00:01:12.36',,neid,y,
0,0,TCSDECOF,TCS-Telescope DEC Offset J2000,HH:MM:SS,,ex: '00:01:12.36',,neid,y,
0,0,TCSHA,TCS-Telescope Hour Angle (HH:MM:SS),HH:MM:SS,string,ex: '00:01:12.36',,neid,y,
0,0,TCSLST,TCS Local Sidereal Time,HH:MM:SS,string,1:49:44,,neid,y,
0,0,TCSZA,TCS Zenith Angle,angle,float,,,neid,y,
0,0,TCSEL,TCS-Target Elevation Angle (deg),angle,float,,,neid,y,
0,0,TCSAZ,TCS-Target Azimuth Angle (deg),angle,float,,,neid,y,
0,0,TCSEQNX,TCS-Target Equinox,year,float,2000,,neid,y,
0,0,TCSEPOCH,TCS-Target Epoch,year,float,2000,,neid,y,
0,0,SUNAGL,Sun Angle (deg),degrees,float,,,neid,y,
0,0,MOONUP,Moon Above Horizon,,bool,T/F,,neid,y,
0,0,MOONAGL,Target-Moon Angle (deg),degrees,float,,,neid,y,
0,0,ENVTIME,TCS-Weather Data Date (UTC),,DateTime,2020-12-20T03:19:27,,neid,y,
0,0,ENVDTMP,Dome Temperature (C),Celcius degrees,float,,,neid,y,
0,0,ENVOTMP,Outside Temperature (C),Celcius degrees,float,,,neid,y,
0,0,ENVDHUM,Dome Relative Humidity (%),percent,float,,,neid,y,
0,0,ENVOHUM,Dome Outside Relative Humidity (%),percent,float,,,neid,y,
0,0,ENVWINDS,Wind Speed (mph),mph,float,,,neid,y,
0,0,ENVWINDD,Wind Direction (angle),degrees,float,,,neid,y,
0,0,DEWPOINT,Dewpoint Temp (C),Celcius degrees,float,,,neid,y,
0,0,DOMETIME,TCS-Dome Data Date (UTC),,DateTime,2020-12-20T03:19:27',,neid,y,
0,0,DOMETGT,Dome Commanded Azimuth,degrees,float,,6:00,neid,y,
0,0,DOMEPOS,Dome Measured Azimuth,degrees,float,,,neid,y,
0,0,DOMESTAT,Dome Shutter Status,,string,open/closed,,neid,y,
,,,,,,,,,n,
,,,,,,,,,n,
COPIED FROM ARCHON HEADERS Tab,,https://docs.google.com/spreadsheets/d/1ZBOWUIwwss-SRICExukFcDQTKknz0QzEq4M-eaXFoUY/edit?ts=60c0f9e3#gid=204841927,,,,,,,n,
,,Slot and Channel,Function,,,Default Value,,,n,
,,,,,,(Volts/mA),,,n,
0,0,HVLC_V1,ResetDrain_a,(Volts/mA),Volts/mA,15,,steve_gibson,y,ARCHON_MOD9\HVLC_V1
0,0,HVLC_V2,ResetDrain_b,(Volts/mA),Volts/mA,15,,steve_gibson,y,ARCHON_MOD9\HVLC_V2
0,0,HVLC_V3,ResetDrain_c,(Volts/mA),Volts/mA,15,,steve_gibson,y,ARCHON_MOD9\HVLC_V3
0,0,HVLC_V4,ResetDrain_d,(Volts/mA),Volts/mA,15,,steve_gibson,y,ARCHON_MOD9\HVLC_V4
0,0,HVLC_V6,Scupper Voltage,(Volts/mA),Volts/mA,20,,steve_gibson,y,ARCHON_MOD9\HVLC_V6
0,0,HVLC_V11,Dump Drain,(Volts/mA),Volts/mA,20,,steve_gibson,y,ARCHON_MOD9\HVLC_V11
0,0,HVHC_V1,Reset Gate High,(Volts/mA),Volts/mA,8,,steve_gibson,y,ARCHON_MOD9\HVHC_V1
0,0,HVHC_IL1,Reset Gate High Current,(Volts/mA),Volts/mA,TBC,,steve_gibson,y,ARCHON_MOD9\HVHC_IL1
0,0,HVHC_V2,Summing Well High,(Volts/mA),Volts/mA,5,,steve_gibson,y,ARCHON_MOD9\HVHC_V2
0,0,HVHC_IL2,Summing Well High Current,(Volts/mA),Volts/mA,TBC,,steve_gibson,y,ARCHON_MOD9\HVHC_IL2
0,0,HVHC_V3,Output Drain a,(Volts/mA),Volts/mA,24,,steve_gibson,y,ARCHON_MOD9\HVHC_V3
0,0,HVHC_IL3,Outtput Drain a Current,(Volts/mA),Volts/mA,3.3,,steve_gibson,y,ARCHON_MOD9\HVHC_IL3
0,0,HVHC_V4,Output Drain b,(Volts/mA),Volts/mA,24,,steve_gibson,y,ARCHON_MOD9\HVHC_V4
0,0,HVHC_IL4,Outtput Drain b Current,(Volts/mA),Volts/mA,3.3,,steve_gibson,y,ARCHON_MOD9\HVHC_IL4
0,0,HVHC_V5,Output Drain c,(Volts/mA),Volts/mA,24,,steve_gibson,y,ARCHON_MOD9\HVHC_V5
0,0,HVHC_IL5,Outtput Drain c Current,(Volts/mA),Volts/mA,3.3,,steve_gibson,y,ARCHON_MOD9\HVHC_IL5
0,0,HVHC_V6,Output Drain d,(Volts/mA),Volts/mA,24,,steve_gibson,y,ARCHON_MOD9\HVHC_V6
0,0,HVHC_IL6,Outtput Drain d Current,(Volts/mA),Volts/mA,3.3,,steve_gibson,y,ARCHON_MOD9\HVHC_IL6
0,0,LVLC_V12,Output Gate,(Volts/mA),Volts/mA,1,,steve_gibson,y,ARCHON_MOD12\LVLC_V12
0,0,LVHC_V1,Reset Gate Low,(Volts/mA),Volts/mA,-0.1,,steve_gibson,y,ARCHON_MOD12\LVHC_V1
0,0,LVHC_IL1,Reset Gate Low Current,(Volts/mA),Volts/mA,TBC,,steve_gibson,y,ARCHON_MOD12\LVHC_IL1
0,0,LVHC_V2,Summing Well Low,(Volts/mA),Volts/mA,-5,,steve_gibson,y,ARCHON_MOD12\LVHC_V2
0,0,LVHC_IL2,Summing Well Low Current,(Volts/mA),Volts/mA,TBC,,steve_gibson,y,ARCHON_MOD12\LVHC_IL2
,,,,,,,,,n,
xx,,,,,,,,,n,
xx,,Backplane Power,,,,Voltage,Current (A),,n,
0,0,P2V5,Backplane Power,Voltage,float,2.5,4,steve_gibson,y,
0,0,P5V,Backplane Power,Voltage,float,5,3.3,steve_gibson,y,
0,0,P6V,Backplane Power,Voltage,float,6,0.355,steve_gibson,y,
0,0,N6V,Backplane Power,Voltage,float,-6,0.3,steve_gibson,y,
0,0,P17V,Backplane Power,Voltage,float,17,0.46,steve_gibson,y,
0,0,N17V,Backplane Power,Voltage,float,-17,0.395,steve_gibson,y,
0,0,P35V,Backplane Power,Voltage,float,35,0.11,steve_gibson,y,
0,0,N35V,Backplane Power,Voltage,float,0,0,steve_gibson,y,
0,0,P100V,Backplane Power,Voltage,float,100,0.01,steve_gibson,y,
0,0,N100V,Backplane Power,Voltage,float,-100,0.01,steve_gibson,y,
0,0,Heater,TBC,Voltage,float,28,,steve_gibson,y,
,The HDU 1  headers go into 1-8,,,,,,,,n,
0,1,XTENSION,IMAGE ' / Image extension,,,,,"neid,L0,ext-1",n,
0,1,BITPIX  ,16 / array data type,,,,,"neid,L0,ext-1",n,
0,1,NAXIS ,2 / number of array dimensions,,,,,"neid,L0,ext-1",n,
0,1,NAXIS1  ,1250,,,,,"neid,L0,ext-1",n,
0,1,NAXIS2  ,5000,,,,,"neid,L0,ext-1",n,
0,1,PCOUNT ,0 / number of parameters,,,,,"neid,L0,ext-1",n,
0,1,GCOUNT  ,1 / number of groups,,,,,"neid,L0,ext-1",n,
0,1,BSCALE  ,,,,1,,"neid,L0,ext-1",y,
0,1,BZERO  ,,,,32768,,"neid,L0,ext-1",y,
0,1,BUNIT   ,Image data units,,DN,,,"neid,L0,ext-1",y,
0,1,AMPNAME ,Amplifier name,,str,Amplifier 01,,"neid,L0,ext-1",y,
0,1,AMPNUM  ,Amplifier number,,str,Amplifier 01,,"neid,L0,ext-1",y,
0,1,AMPROW  ,Amplifier row,,,0,,"neid,L0,ext-1",y,
0,1,AMPCOL  ,Amplifier column,,,0,,"neid,L0,ext-1",y,
0,1,AMPSEC  ,Amplifier section,UPDATE  next 8 in python,,"[1:1250,1:5000]",,"neid,L0,ext-1",y,
0,1,DETSEC ,Detector data section,,,"[1:1152,1:4616]",,"neid,L0,ext-1",y,
0,1,DATASEC ,Image data section,,,"[28:1179,1:4616]",,"neid,L0,ext-1",y,
0,1,BIASSEC1,Bias section 1,,,"[1:27,1:5000]",,"neid,L0,ext-1",y,
0,1,BIASSEC2,Bias section 2,,,"[28:1179,4617:5000]",,"neid,L0,ext-1",y,
0,1,BIASSEC3,Bias section 3,,,"[1180:1250,1:5000]",,"neid,L0,ext-1",y,
0,1,CCDGAIN ,Amplifier gain (e-/DN),e-/DN,,1.656,,"neid,L0,ext-1",y,
0,1,CCDRN  ,Amplifier read noise (e-),e-,,4.28,,"neid,L0,ext-1",y,
0,1,EXTNAME ,Extension name,,str,AMPLIFIER 01,,"neid,L0,ext-1",y,
0,1,CHECKSUM,HDU checksum updated 2020-12-20T03:21:00,,str,,1684137138,"neid,L0,ext-1",y,
0,1,DATASUM ,data unit checksum updated 2020-12-20T03:21:00,,uint,,PAA6R094P7A4P774' /,"neid,L0,ext-1",y,
0,,"HEADER2, HDU2",,,,,,"neid,L0,ext-1",n,
0,,XTENSION= 'IMAGE   '           / Image extension,,,,,,"neid,L0,ext-1",n,
0,,BITPIX  =                   16 / array data type,,,,,,"neid,L0,ext-1",n,
0,,NAXIS   =                    2 / number of array dimensions,,,,,,"neid,L0,ext-1",n,
0,,NAXIS1  =                 1250,,,,,,"neid,L0,ext-1",n,
0,,NAXIS2  =                 5000,,,,,,"neid,L0,ext-1",n,
0,,PCOUNT  =                    0 / number of parameters,,,,,,"neid,L0,ext-1",n,
0,,GCOUNT  =                    1 / number of groups,,,,,,"neid,L0,ext-1",n,
0,,BSCALE  =                    1,,,,,,"neid,L0,ext-1",n,
0,,BZERO   =                32768,,,,,,"neid,L0,ext-1",n,
0,,BUNIT   = 'DN      '           / Image data units,,,,,,"neid,L0,ext-1",n,
0,,AMPNAME = 'Amplifier 02'       / Amplifier name,,,,,,"neid,L0,ext-1",n,
0,,AMPNUM  =                    2 / Amplifier number,,,,,,"neid,L0,ext-1",n,
0,,AMPROW  =                    0 / Amplifier row,,,,,,"neid,L0,ext-1",n,
0,,AMPCOL  =                    1 / Amplifier column,,,,,,"neid,L0,ext-1",n,
0,,"AMPSEC  = '[1:1250,1:5000]'    / Amplifier section",,,,,,"neid,L0,ext-1",n,
0,,"DETSEC  = '[1153:2304,1:4616]' / Detector data section",,,,,,"neid,L0,ext-1",n,
0,,"DATASEC = '[28:1179,1:4616]'   / Image data section",,,,,,"neid,L0,ext-1",n,
0,,"BIASSEC1= '[1:27,1:5000]'      / Bias section 1",,,,,,"neid,L0,ext-1",n,
0,,"BIASSEC2= '[28:1179,4617:5000]' / Bias section 2",,,,,,"neid,L0,ext-1",n,
0,,"BIASSEC3= '[1180:1250,1:5000]' / Bias section 3",,,,,,"neid,L0,ext-1",n,
0,,CCDGAIN =                1.657 / Amplifier gain (e-/DN),,,,,,"neid,L0,ext-1",n,
0,,CCDRN   =                  4.8 / Amplifier read noise (e-),,,,,,"neid,L0,ext-1",n,
0,,EXTNAME = 'AMPLIFIER 02'       / Extension name,,,,,,"neid,L0,ext-1",n,
0,,CHECKSUM= 'ADqODBoNABoNABoN'   / HDU checksum updated 2020-12-20T03:21:00,,,,,,"neid,L0,ext-1",n,
0,,DATASUM = '198278077'          / data unit checksum updated 2020-12-20T03:21:00,,,,,,"neid,L0,ext-1",n,
,,,,,,,,,,
,HDU 9 = CA HK,,,,,,,,n,
0,9,HKPOWER,Power status,N/A,Bool,T/F,T/F,steve_gibson,y,
0,9,HKSHUTT,HK shutter position,N/A,Bool,T/F,T/F,steve_gibson,y,
0,9,HKTSTART,avg exposure start time,UTC,DateTime,ex:'2020-12-20T01:41:48.123',>=0,steve_gibson,y,
0,9,HKTEND,avg exposure end time,UTC,DateTime,ex:'2020-12-20T01:41:48.123',>=0,steve_gibson,y,
0,9,HKECHTMP,avg echelle temperature,Degrees C,float,1,,steve_gibson,y,
0,9,HKDETTMP,avg detector temperature,Degrees C,float,1,,steve_gibson,y,
0,9,HKCAMTMP,avg camera barrel temp,Degrees C,float,1,,steve_gibson,y,
0,9,HKBNCTMP,avg bench temp,Degrees C,float,1,,steve_gibson,y,
0,9,HKENCTMP,avg enclosure temp,Degrees C,float,1,,steve_gibson,y,
0,9,HKRCKTMP,avg Rack temp,Degrees C,float,1,,steve_gibson,y,
0,9,HKCCDTMP,CCD temperature,Degrees C,float,1,,steve_gibson,y,
0,9,HKEXPTIM,HK exposure time,seconds,float,1,,steve_gibson,y,
0,9,HKFRMC1,CCD (sub)frame left bound of column,pixel number,int,1,"[0, 1024]",ashley,y,
0,9,HKFRMC2,CCD (sub)frame right bound of column,pixel numbr,int,1,"[0,1024]",ashley,y,
0,9,HKFRMR1,CCD (sub)frame bottomw bound of row,pixel number,int,1,"[0,255]",ashley,y,
0,9,HKFRMR2,CCD (sub)frame top bound of row,pixel number,int,1,"[0,255]",ashley,y,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
XX,Starting here are HIRES keywords.,,Extra detail here: https://www2.keck.hawaii.edu/koa/public/keywords/keywords_description.html#meta,,,,,,,
,,SIMPLE,T / Written by IDL:  Fri Oct 18 00:02:29 2019,,,,,hires,n,
,,BITPIX,-32 / IEEE single precision floating point,,,,,hires,n,
,,NAXIS,2 / number of data axes,,,,,hires,n,
,,NAXIS1,4021 /Number of positions along axis 1,,,,,hires,n,
,,NAXIS2,16 /Number of positions along axis 2,,,,,hires,n,
,,EXTEND,T / FITS dataset may contain extensions,,,,,hires,n,
,,COMMENT   FITS (Flexible Image Transport System) format is defined in 'Astronomy,,,,,,hires,n,
,,"COMMENT   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H",,,,,,hires,n,
,,BZERO,0 / offset data range to that of unsigned short,,,,,hires,n,
,,BSCALE,1 / default scaling factor,,,,,hires,n,
,,DATE,2009-10-05T08:07:31' / file creation date (YYYY-MM-DDThh:mm:ss UT),,,,,hires,n,
,,COMMENT BEGIN observation-specific keywords written by write_image,,,,,,hires,n,
,,COMMENT BEGIN keywords that came from KTL via watch_ccd,,,,,,hires,n,
,,AUTOSHUT,T,,,,,hires,n,
,,ERASECNT,1,,,,,hires,n,
,,FLUSHMOD,fast    ',,,,,hires,n,
,,ANTIBLM,off     ',,,,,hires,n,
,,ABFREQ,20,,,,,hires,n,
,,NSUBINT,0,,,,,hires,n,
,,ROWSHFT,0,,,,,hires,n,
,,INSTRUME,HIRES: High Resolution Echelle Spectrometer',,,,,hires,n,
,,DETECTOR,HIRES Science Mosaic: #1(B):17-7-1 #2(G):17-7-6 #3(R):2-2-1',,,,,hires,,
,,UTC,07:27:29.16',,,,,hires,n,
,,DATE-OBS,2009-10-05',,,,,hires,n,
,,TEMPDET,-130.1121674,,,,,hires,n,
,,TEMPDET1,-130.0999908,,,,,hires,n,
,,TEMPDET2,-130.1200104,,,,,hires,n,
,,TEMPDET3,-130.1164856,,,,,hires,n,
,,PWRBLOK1,6.05000019,,,,,hires,n,
,,PWRBLOK2,2.82500005,,,,,hires,n,
,,PWRBLOK3,4.05000019,,,,,hires,n,
,,TEMPSET,-130.0488281,,,,,hires,n,
,,UTBTEMP,3.5,,,,,hires,,
,,UTBTMPS,5,,,,,hires,,
,,UTB30VEN,enabled ',,,,,hires,,
,,UTB15VEN,enabled ',,,,,hires,,
,,UTBP30V,34.41613007,,,,,hires,,
,,UTBM15V,-15.91517925,,,,,hires,,
,,UTBP15V,15.99330425,,,,,hires,,
,,UTBP5V,4.97449875,,,,,hires,,
,,DWRN2LV,68.56796265,,,,,hires,,
,,RESN2LV,86.38037109,,,,,hires,,
,,ERAMODE,"B, G, R '",,,,,hires,n,
,,VIDINBEG,63,,,,,hires,,
,,XDRAW,-1358,,,,,hires,n,
,,XDANGL,-0.102,,,,,hires,n,
,,XDPIX,-403.3312073,,,,,hires,n,
,,DEC,+42:27:15.1',,,,,hires,n,
,,EQUINOX,2000.0  ',,,,,hires,n,
,,FRAME,FK5     ',,,,,hires,n,
,,HA,+03:16:35.36',,,,,hires,n,
,,RA,18:45:09.21',,,,,hires,n,
,,ST,22:02:03.27',,,,,hires,n,
,,AZ,-49.79  ',,,,,hires,n,
,,EL,43.11   ',,,,,hires,n,
,,AIRMASS,1.46    ',,,,,hires,n,
,,PARANG,103.15  ',,,,,hires,n,
,,DCSSTAT,running ',,,,,hires,,
,,DOMESTAT,tracking',,,,,hires,,
,,MJD,55109.310772',,,,,hires,,
,,ROTMODE,vertical angle',,,,,hires,,
,,ROTDEST,90.00   ',,,,,hires,,
,,ROTPOSN,90.00   ',,,,,hires,,
,,TARGNAME,K00010  ',,,,,hires,,
,,TELESCOP,Keck I  ',,,,,hires,,
,,TELFOCUS,-0.162  ',,,,,hires,,
,,UTC-END,08:07:30.57',,,,,hires,n,
,,DATE-END,2009-10-05',,,,,hires,n,
,,ERASLINE,F,,,,,hires,,
,,FRAMENO,875,,,,,hires,,
,,KEEPPREP,true    ',,,,,hires,,
,,CCDGAIN,low     ',,,,,hires,,
,,CCDSPEED,fast    ',,,,,hires,,
,,CCDPSIZE,"[1:2048,1:4096]'",,,,,hires,,
,,DETLSIZE,"[1:6144,1:4096]'",,,,,hires,,
,,NVIDINP,3,,,,,hires,,
,,AMPLIST,"3,1,0,0 '",,,,,hires,,
,,AMPMODE,SINGLE:B',,,,,hires,,
,,MOSMODE,"B, G, R '",,,,,hires,,
,,VIDINEND,63,,,,,hires,,
,,PANEFITS,normal  ',,,,,hires,n,
,,PANELIST,PANE    ',,,,,hires,n,
,,PANERROR,NO_ERROR',,,,,hires,n,
,,PANE,"0,0,6144,4096'",,,,,hires,n,
,,PANE1,"0,0,6144,4096'",,,,,hires,n,
,,PANE2,"0,0,6144,4096'",,,,,hires,n,
,,PANE3,"0,0,6144,4096'",,,,,hires,n,
,,PANE4,"0,0,6144,4096'",,,,,hires,n,
,,PANE5,"0,0,6144,4096'",,,,,hires,n,
,,PANE6,"0,0,6144,4096'",,,,,hires,n,
,,PANE7,"0,0,6144,4096'",,,,,hires,n,
,,PANE8,"0,0,6144,4096'",,,,,hires,n,
,,PANE9,"0,0,6144,4096'",,,,,hires,n,
,,PANE10,"0,0,6144,4096'",,,,,hires,n,
,,PANE11,"0,0,6144,4096'",,,,,hires,n,
,,PANE12,"0,0,6144,4096'",,,,,hires,n,
,,PANE13,"0,0,6144,4096'",,,,,hires,n,
,,PANE14,"0,0,6144,4096'",,,,,hires,n,
,,PANE15,"0,0,6144,4096'",,,,,hires,n,
,,PANE16,"0,0,6144,4096'",,,,,hires,n,
,,OUTDIR,/s/sdata125/hires1/2009oct05',,,,,hires,,
,,OUTFILE,j77     ',,,,,hires,,
,,OVRFLUSH,0,,,,,hires,,
,,PREFLUSH,40,,,,,hires,,
,,TTIME,2400,,,,,hires,n,
,,AHoward',2400,,,,,hires,n,
,,EXPTIME,2400.111328,,,,,hires,n,
,,DARKTIME,2400.67041,,,,,hires,n,
,,PEXPTIME,0,,,,,hires,,
,,PEXPELAP,0,,,,,hires,,
,,SHOPNCNT,1,,,,,hires,,
,,SHCLOCNT,1,,,,,hires,,
,,SHBLOPTM,0.008,,,,,hires,,
,,SHLATCLO,0.0248,,,,,hires,,
,,VIDOFF1,2241,,,,,hires,,
,,VIDOFF2,2278,,,,,hires,,
,,VIDOFF3,2332,,,,,hires,,
,,VIDOFF4,2283,,,,,hires,,
,,VIDOFF5,2331,,,,,hires,,
,,VIDOFF6,2352,,,,,hires,,
,,OBSERVER,Isaacson/Howard',,,,,hires,n,
,,OBJECT,Template',,,,,hires,n,
,,OBSTYPE,Object  ',,,,,hires,n,
,,SYNOPSIS,"B, G, R 2400 s, Object pane PANE'",,,,,hires,n,
,,SYNOPFMT,"$MOSMODE$ $TTIME$ s, $OBSTYPE$ pane $PANELIST$'",,,,,hires,n,
,,POSTLINE,0,,,,,hires,n,
,,POSTPIX,80,,,,,hires,n,
,,PRELINE,0,,,,,hires,n,
,,PRECOL,12,,,,,hires,n,
,,PREROW,4,,,,,hires,n,
,,DATE_BEG,2009-10-05T07:27:28',,,,,hires,n,
,,DATE_END,2009-10-05T08:07:29',,,,,hires,n,
,,ACPOWER,F,,,,,hires,n,
,,AIRPRESS,0.0032959,,,,,hires,,
,,BCCVCLOS,T,,,,,hires,,
,,BCCVOPEN,F,,,,,hires,,
,,CAFCAL,T,,,,,hires,n,
,,CAFNAME,undefined',,,,,hires,n,
,,CAFRAW,-29987,,,,,hires,n,
,,CAFOCUS,-52.89645386,,,,,hires,n,
,,CACVCLOS,F,,,,,hires,n,
,,CACVOPEN,T,,,,,hires,n,
,,CATCUR1,0.04882812,,,,,hires,n,
,,CATCUR2,0.03662109,,,,,hires,n,
,,CATON,F,,,,,hires,n,
,,COFCAL,T,,,,,hires,n,
,,COFNAME,DR03mm  ',,,,,hires,n,
,,COFRAW,94942,,,,,hires,n,
,,COFOCUS,4728.187012,,,,,hires,n,
,,COLLBLUE,F,,,,,hires,n,
,,COLLBRAK,F,,,,,hires,n,
,,COLLRED,T,,,,,hires,n,
,,COOLFLOW,T,,,,,hires,n,
,,C1CVCLOS,F,,,,,hires,n,
,,C1CVOPEN,T,,,,,hires,n,
,,C2CVCLOS,F,,,,,hires,n,
,,C2CVOPEN,T,,,,,hires,n,
,,DARKCLOS,F,,,,,hires,n,
,,DARKOPEN,T,,,,,hires,n,
,,DECKCAL,T,,,,,hires,n,
,,DECKNAME,B1      ',,,,,hires,n,
,,DECKRAW,-149392,,,,,hires,n,
,,DECKLOC,-63.24274063,,,,,hires,n,
,,DOOR,F,,,,,hires,n,
,,ECHCAL,T,,,,,hires,n,
,,ECHNAME,undefined',,,,,hires,n,
,,ECHRAW,698,,,,,hires,n,
,,ECHANGL,-0.01399583,,,,,hires,n,
,,ECHPIX,26.34280396,,,,,hires,n,
,,ECOVCLOS,F,,,,,hires,n,
,,ECOVOPEN,T,,,,,hires,n,
