CHIP,INDEX,ECHELLE,WAVE_MIN,WAVE_MAX,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
GREEN,10,127,4807.798758285491,4865.9587227008,4838.886351732616,29.08792324733019,-2.01037583076895,-0.009356128129861906,0.002764591303563192,0.0014150884529707428,9.897563419158931e-13,-6.439647638029022e-13,2.7941363710535394e-12,-8.90085874178332e-13
GREEN,11,126,4845.888645919375,4904.510108447654,4877.225250368467,29.32195256530958,-2.0263013650216113,-0.011006570912926133,0.0004281800760393393,-0.0002147302586342367,2.828414467748586e-12,-6.673987539267591e-13,4.471002141662667e-12,-8.339764783655646e-13
GREEN,12,125,4884.587989070462,4943.684385598949,4916.17591408005,29.559702721894244,-2.0408012186716453,-0.011321907354998858,0.001174793292192293,-0.00020803555583948977,-0.00011794606353446325,0.0001839492254825632,1.762609880535978e-05,-0.00015846396402883784
GREEN,13,124,4923.909478156287,4983.489853606362,4955.754533189744,29.801772612026856,-2.0558663868773954,-0.011445099381503399,0.0011390141305867624,-0.00020628366306024522,-0.0001273887258712052,0.00019476110839200224,-1.2546941391926508e-05,-0.00012826505402778297
GREEN,14,123,4963.869461720674,5023.941178640206,4995.975450990946,30.04744833593084,-2.0711896633780396,-0.011443808065248811,0.0012493802947862473,-0.00027434932403685097,-0.000154501291299821,0.00024959266166951365,-3.602612930084028e-05,-0.00012131143668314532
GREEN,15,122,5004.483362616281,5065.0548964822065,5036.854617293586,30.297539410874677,-2.086530385694927,-0.011689015434171923,0.0011810186149934052,-0.00023388209663839852,-0.00013199080366386074,0.00021582138367240902,-6.386452289430845e-06,-6.540176565323782e-05
GREEN,16,121,5045.767337891348,5106.846335301683,5078.408062601339,30.551277569931234,-2.1023944384332447,-0.011672649629555236,0.0012609488477910704,-0.00028310662093496884,-0.00011848952065939656,0.0002548714592517464,2.59742853628695e-05,-7.7979972686235e-05
GREEN,17,120,5087.738390155636,5149.33334905905,5120.652893190855,30.809535453861734,-2.118204397554296,-0.011883947238557261,0.0012664261577199284,-0.00023818891592164117,-0.00012537752785544723,0.00013852351986631123,3.976541837274437e-05,-7.238952226963192e-05
GREEN,18,119,5130.413260670698,5192.533028978327,5163.606475411624,31.072002305907144,-2.134520403700413,-0.011984805695044783,0.001340628970885123,-0.0002631204360849603,-0.0001470537267492889,0.00020745721767258897,-3.7586602345378084e-06,-7.768317806114579e-05
GREEN,19,118,5173.810354666875,5236.463628634418,5207.286687941878,31.338937309866097,-2.150895597508043,-0.012186490404549288,0.0012891921148322737,-0.00021272678046299357,-0.0001089315104589025,0.00016248815631864712,1.904567185114179e-05,-6.359706598451017e-05
GREEN,20,117,5217.948030119326,5281.14319396534,5251.7119587597435,31.60996253919677,-2.1675993153166053,-0.012245631167399317,0.0013539697250854218,-0.00024213970470886008,-0.00012843732628477767,0.00013513277925111694,2.706551898379054e-05,-2.797809794934718e-05
GREEN,21,116,5262.845347297775,5326.591771664824,5296.901782007862,31.88578012958741,-2.184410902283761,-0.01242139150709987,0.0013469595992151029,-0.00020127976659111552,-0.00011520848482649461,0.0001226785502099052,-4.3375384372029435e-05,-6.795333940199131e-05
GREEN,22,115,5308.522246569458,5372.829467183873,5342.876095820383,32.16631665771958,-2.201540241295401,-0.012554174260060781,0.0014163451426161219,-0.00022472709271501967,-0.00013918220354265748,0.00014844735721022682,2.4134649157289615e-05,-7.589651956369004e-05
GREEN,23,114,5354.999257882445,5419.8767186286705,5389.655456447778,32.45165819324286,-2.218896313587873,-0.012734208616723818,0.00145066959617294,-0.0002374103632968687,-7.050502411236302e-05,0.0001245005660812775,4.795679824889779e-05,-8.070171507653928e-05
GREEN,24,113,5402.297132023305,5467.754718230804,5437.2611840490345,32.74188108383259,-2.2366294640878293,-0.012915981982858303,0.0014807551924045641,-0.000234126684874803,-0.00011365187430713875,0.00010645358973327356,3.438788942980252e-06,-4.4325005954729555e-05
GREEN,25,112,5450.438053333565,5516.485867348156,5485.7152153545485,33.037023473781865,-2.254624234575284,-0.013049148535025893,0.001506398702346735,-0.00019655861706731478,-0.0001124747308966092,0.00024255796458681834,-2.4703077096295704e-05,-0.00011331729927096928
GREEN,26,111,5499.445241876066,5566.092557077633,5535.0402745544,33.33689137918717,-2.272772208649314,-0.013184213764683128,0.001467792149837727,-0.00020017978307014856,-7.82134012411372e-05,0.0001866600251025491,7.552355909280741e-06,-3.6044882003753815e-05
GREEN,27,110,5549.34219364997,5616.59901831123,5585.260456646038,33.64208391726212,-2.2911427533466973,-0.013391628453918945,0.001464530939632278,-0.0001975282492899905,-0.00014300805468243775,0.0001627025830589212,-2.9434970569051713e-05,-0.000245132513617119
GREEN,28,109,5600.152914559536,5668.030869504691,5636.400225408992,33.95263600562407,-2.309761844641289,-0.013597693725837528,0.0015117597755708522,-9.196601659270981e-05,-0.00011485638786171928,0.00017717713307104023,3.1564385677518627e-05,-0.00014605043847114088
GREEN,29,108,5651.903228368835,5720.4125495145145,5688.485092654854,34.26864787323679,-2.328650772538761,-0.013885010500601471,0.0015596696600851435,-0.00015403522429937946,-8.570162037812422e-05,0.00016839437342254664,-2.6908676192354385e-05,-0.00011664904627168081
GREEN,30,107,5704.619051450959,5773.771266307309,5741.541588780682,34.59028098699813,-2.347918081142292,-0.014158375867553419,0.0015253641371953,-6.542442234544699e-05,-0.00011335572307250556,0.00015597078300114785,7.617119097161186e-05,-0.00010572931747461214
GREEN,31,106,5758.328191579,5828.1339671876585,5795.596885806915,34.91737971873298,-2.367427975038655,-0.014399799023338239,0.001541734810357824,-0.00011567238668548627,-1.469660152991807e-05,9.257522412863666e-05,9.45132504499763e-05,-6.90182196058977e-05
GREEN,32,105,5813.05880547329,5883.528481869045,5850.6792166807445,35.24968930895377,-2.3872510979498576,-0.014694892230477208,0.0016611227236430334,-0.00016310623564791757,-7.450971848590542e-05,7.407925743281882e-05,9.147537244590769e-05,-6.719186709737356e-05
GREEN,33,104,5868.840360762378,5939.985750618546,5906.818594346848,35.58798360003761,-2.4070317050956818,-0.015209497754986012,0.001657890376956166,-9.226467692461538e-05,-0.00013808590150075195,5.290201174477014e-05,-2.67557583447738e-05,-3.981153602875011e-05
GREEN,34,103,5925.70397435804,5997.537807889193,5964.045944787637,35.93258998098039,-2.4268383630305634,-0.015730632557919202,0.0016582125587062955,0.00010263648411151864,-5.3399173534732086e-06,-4.6769607838688745e-06,0.00013182637155881424,-4.054236958870923e-05
RED,0,102,5985.166968192555,6057.714562723947,6023.914325775676,36.29383711837688,-2.475571261949509,-0.02059754480083922,0.0020109445263643035,0.0005576921211938801,2.6622933104789375e-12,5.221999676338824e-13,4.8217329819473555e-12,6.412268910923834e-13
RED,1,101,6044.359812956148,6117.653487320517,6083.506306982013,36.667201152673734,-2.501361915551685,-0.020332204443783638,0.0017177119379317707,-0.0001057309259836318,-6.578425784948842e-05,8.524129530096674e-05,5.314420313888488e-05,-1.1276417831535325e-05
RED,2,100,6104.737053966488,6178.790963505583,6144.2888241530545,37.04725604656155,-2.5265656247619357,-0.02007444461511415,0.0018289666704611137,-0.0003356366582853743,-3.2845211163705094e-05,0.00010274103661646734,-4.591371485733491e-05,6.063222925447521e-06
RED,3,99,6166.33256017527,6241.162131194177,6206.298277585445,37.435084491769544,-2.5526004623386473,-0.01994108413775062,0.0017198799575193816,-0.00030661239140020115,-0.00011468895826123581,-1.9698530468839133e-05,6.337061854319698e-05,-3.158725785529175e-05
RED,4,98,6229.184200416841,6304.805637848104,6269.572128401251,37.83059147691133,-2.5790828453490766,-0.019778703664112073,0.0017826229632112655,-0.0002506752125062142,-1.3224275376325914e-06,0.00014528283882772434,9.227604606165412e-05,1.1334757230737575e-05
RED,5,97,6293.330967504715,6369.759331759055,6334.149459793191,38.23419296212305,-2.6059940668697847,-0.01974735834229048,0.001724038724287602,-0.00031575307780892635,-6.970248185652779e-05,0.00018364876222591058,2.9569326360789804e-05,-0.0001313722974149739
RED,6,96,6358.813044484497,6436.065345207465,6400.0709412611595,38.64605624692292,-2.633490328923327,-0.019732621640971455,0.0016950705729475157,-0.0002973322001399336,-4.601623651739224e-05,0.0001577194127964673,9.485941684449006e-05,-3.365101291495439e-05
RED,7,95,6425.672814448827,6503.765679724709,6467.379018187915,39.06644116847747,-2.661467706017214,-0.019727363708024467,0.001702876965593976,-0.0003324923479059879,-5.0900238243031264e-05,9.043394208860097e-05,4.46281463211678e-05,-3.910842534570418e-05
RED,8,94,6493.953903009659,6572.905192926527,6536.117836262491,39.495629300284286,-2.6900294073426765,-0.019725428417300583,0.0017376981942407094,-0.00036518841321039045,-4.936128616154473e-05,0.00017262079594375102,5.277603830267747e-05,-6.634581488680506e-05
RED,9,93,6563.702231275543,6643.529629893084,6606.333540470668,39.93389893545673,-2.719118869002097,-0.01977451753984926,0.001657315403023547,-0.0004802120015831755,-8.625135734535185e-05,0.00015537320652210667,-6.208139081163173e-05,-0.00010027035105974272
RED,10,92,6634.965694406247,6715.68860319268,6678.074250624156,40.381458471577865,-2.748806294261574,-0.019773819040752715,0.001699213917822652,-0.0004287339477835967,1.6249884279057144e-05,0.00029818077312122497,-1.0994221604094284e-05,-9.970614713115323e-05
RED,11,91,6707.794101356844,6789.431204950142,6751.390167982175,40.83870555233537,-2.779093524576953,-0.019835749770658342,0.001643962365078588,-0.00046453519169364465,-3.4602241981159386e-05,0.00023640762958719073,-3.066422956067265e-05,-8.987835193451866e-05
RED,12,90,6782.239732013807,6864.8108920009945,6826.33373736679,41.30586553229487,-2.809990973348315,-0.01989630310763338,0.0016689025621176258,-0.00048576593815213604,-8.316624449784433e-05,0.000213446926027001,-2.0122354635354626e-05,-0.00011691658405476847
