,Coeff0,Coeff1,Coeff2,Coeff3,BottomEdge,TopEdge,X1,X2
95,1948.0784760833258,-0.0019513678448391438,1.0293548075148502e-06,-6.251944818897632e-11,6.8461,7.1222,0,4079
96,1966.8839776163943,-0.0014227729189940086,6.665722323421373e-07,-1.0668341414409279e-11,9.3904,9.5446,0,4079
97,1986.0284832828631,-0.0019672664587701417,9.279954730362735e-07,-4.6458760443017414e-11,8.4554,8.6739,0,4079
98,2001.3351434033682,-0.002278428775742993,1.0854855651358957e-06,-6.336814799171169e-11,4.0286,4.0562,0,4079
99,2048.425579434211,-0.0026023145245039772,1.0803474888416182e-06,-6.021742420084067e-11,9.3871,9.4497,0,4079
100,2068.6121795205213,-0.0024436994785025953,9.854930274284144e-07,-4.1712108330724677e-11,6.784,7.1633,0,4079
101,2087.541981875199,-0.002261159301247258,8.386597159896668e-07,-2.4773370851560293e-11,9.4837,9.4569,0,4079
102,2106.5051222752973,-0.0021834769595136675,7.385417905570686e-07,-4.944226557570916e-12,8.5431,8.6544,0,4079
103,2121.894268297686,-0.002718724014714067,1.0112750038817988e-06,-3.861559163909368e-11,4.0875,4.0005,0,4079
104,2171.303724755781,-0.0032993958128486873,1.1380646509069942e-06,-5.656397238479658e-11,9.3963,9.4796,0,4079
105,2191.5102139088617,-0.003080831283344641,9.939328609115795e-07,-2.8609013907871475e-11,6.8275,7.1585,0,4079
106,2210.526679673229,-0.0032552791008083025,1.0272298813326923e-06,-3.52412358710447e-11,9.4803,9.4307,0,4079
107,2229.3879617239836,-0.0028245464684366647,7.916458532665379e-07,-3.890831358563634e-12,8.5693,8.5753,0,4079
108,2244.760170226203,-0.003234003958008454,9.53971688973348e-07,-1.5565188957413135e-11,4.1466,3.9651,0,4079
109,2296.3406343119714,-0.0038315132349345023,1.0695978094632579e-06,-2.8900389635616456e-11,9.3426,9.5306,0,4079
110,2316.574450859765,-0.0037475087856971337,1.0266809125856115e-06,-2.0126276555715634e-11,6.8338,7.154,0,4079
111,2335.6094152093897,-0.003951531233007908,1.0792845376633277e-06,-3.021501484004809e-11,9.4803,9.4483,0,4079
112,2354.510727508488,-0.0036475287936422987,9.343674935309342e-07,-1.4335414206389936e-11,8.5517,8.6216,0,4079
113,2369.8583496456254,-0.003916628541762326,1.0027363668273305e-06,-1.039846344377456e-11,4.1329,3.9584,0,4079
114,2423.6003793568348,-0.004411025901232797,1.153248203180166e-06,-4.0461164311444785e-11,9.3944,9.4602,0,4079
115,2443.958716418787,-0.00448037873073544,1.089366573619902e-06,-1.6461737754756667e-11,6.8869,7.1129,0,4079
116,2462.832876442431,-0.0043685247377288,1.0359839094936907e-06,-1.6961037444644666e-11,9.5076,9.438,0,4079
117,2481.963809586527,-0.004576221970590618,1.072831405930198e-06,-1.7618163843259116e-11,8.562,8.646,0,4079
118,2497.201513216163,-0.004554981068180438,9.905155807476765e-07,8.465235378268351e-12,4.0823,4.0173,0,4079
119,2553.29291792703,-0.005218288043146449,1.2347266386399453e-06,-3.652255080901505e-11,9.3688,9.5192,0,4079
120,2573.568033992806,-0.00516070292400395,1.2002003711951515e-06,-2.7945792931385907e-11,6.9918,7.0099,0,4079
121,2592.609151720051,-0.0052842883655807565,1.1648522451778894e-06,-1.920294798414734e-11,9.4777,9.5011,0,4079
122,2611.6327581792216,-0.005213803111419126,1.0344717152836103e-06,7.1622723139601665e-12,8.4989,8.7479,0,4079
123,2626.9030672440567,-0.005368972431484506,1.1804627551002778e-06,-1.6127887823150577e-11,4.337,3.7722,0,4079
124,2685.3814772336746,-0.006088954372581348,1.4222848191449155e-06,-5.568732057385255e-11,9.4568,9.4285,0,4079
125,2705.687728835788,-0.005960136496339086,1.2434979092784538e-06,-1.5498659997650982e-11,6.8381,7.1656,0,4079
126,2724.7169566087173,-0.006249035712213475,1.4393218558406024e-06,-5.676856969305831e-11,9.5318,9.4748,0,4079
127,2743.741107972132,-0.006039804714110451,1.1718991068846682e-06,-2.8692585877841315e-12,8.5252,8.7026,0,4079
128,2759.016582033744,-0.006099406591694997,1.1687866178972446e-06,6.294169412792268e-12,4.1123,4.0005,0,4079
129,2819.9361636467297,-0.006970748091921546,1.5713128666947216e-06,-6.586491886735747e-11,9.4524,9.3944,0,4079
130,2840.2372559904957,-0.006775995190427128,1.3559293938072584e-06,-2.0072594531438476e-11,6.9198,7.0938,0,4079
131,2859.3186887879983,-0.00717136549912373,1.596843688290842e-06,-6.599202177031554e-11,9.5114,9.4412,0,4079
