STANDARD,EXTENSION,INSTRUMENT,INST_EXT,DEFAULT,
CEQNX1,PRIMARY,,,,
CEQNX2,PRIMARY,TARGEQUI,PRIMARY,,
CEQNX3,PRIMARY,TARGEQUI,PRIMARY,,
CEQNX4,PRIMARY,TARGEQUI,PRIMARY,,
CEQNX5,PRIMARY,,,,
CEPCH1,PRIMARY,,,,
CEPCH2,PRIMARY,TARGEPOC,PRIMARY,,
CEPCH3,PRIMARY,TARGEPOC,PRIMARY,,
CEPCH4,PRIMARY,TARGEPOC,PRIMARY,,
CEPCH5,PRIMARY,,,,
CPLX1,PRIMARY,,,,
CPLX2,PRIMARY,TARGPLAX,PRIMARY,,
CPLX3,PRIMARY,TARGPLAX,PRIMARY,,
CPLX4,PRIMARY,TARGPLAX,PRIMARY,,
CPLX5,PRIMARY,,,,
CPMR1,PRIMARY,,,,
CPMR2,PRIMARY,TARGPMRA,PRIMARY,,
CPMR3,PRIMARY,TARGPMRA,PRIMARY,,
CPMR4,PRIMARY,TARGPMRA,PRIMARY,,
CPMR5,PRIMARY,,,,
CPMD1,PRIMARY,,,,
CPMD2,PRIMARY,TARGPMDC,PRIMARY,,
CPMD3,PRIMARY,TARGPMDC,PRIMARY,,
CPMD4,PRIMARY,TARGPMDC,PRIMARY,,
CPMD5,PRIMARY,,,,
CRV1,PRIMARY,,,0,
CRV2,PRIMARY,TARGRADV,PRIMARY,,
CRV3,PRIMARY,TARGRADV,PRIMARY,,
CRV4,PRIMARY,TARGRADV,PRIMARY,,
CRV5,PRIMARY,,,0,
CZ1,PRIMARY,,,0,
CZ2,PRIMARY,,,,
CZ3,PRIMARY,,,,
CZ4,PRIMARY,,,,
CZ5,PRIMARY,,,0,
CCLR1,PRIMARY,,,,
CCLR2,PRIMARY,,,,
CCLR3,PRIMARY,,,,
CCLR4,PRIMARY,,,,
CCLR5,PRIMARY,,,,
OBSERVAT,PRIMARY,OBSERVAT,PRIMARY,,
TELESCOP,PRIMARY,TELESCOP,PRIMARY,,
OBSLON,PRIMARY,,,-155.474719,
OBSLAT,PRIMARY,,,19.826,
OBSALT,PRIMARY,,,4145,
SEEING,PRIMARY,GDRSEEV,PRIMARY,,
AIRMASS,PRIMARY,AIRMASS,PRIMARY,,
TTIME,PRIMARY,DATE,PRIMARY,,
TEQNX,PRIMARY,EQUINOX,PRIMARY,,
TEPCH,PRIMARY,TARGEPOC,PRIMARY,,
TLST1,PRIMARY,LST,PRIMARY,,
TRA1,PRIMARY,RA,PRIMARY,,
TDEC1,PRIMARY,DEC,PRIMARY,,
TEL1,PRIMARY,EL,PRIMARY,,
TZA1,PRIMARY,,,,
TAZ1,PRIMARY,AZ,PRIMARY,,
THA1,PRIMARY,HA,PRIMARY,,
PARANG,PRIMARY,PARANTEL,PRIMARY,,
PARANG2,PRIMARY,,,,
ROTANG,PRIMARY,,,,
SUNEL,PRIMARY,SUNALT,PRIMARY,,
MOONANG,PRIMARY,MOONSEP,PRIMARY,,
MOONEL,PRIMARY,,,,
MOONILLU,PRIMARY,,,,
MOONRV,PRIMARY,,,,
INHUM,PRIMARY,RELH,PRIMARY,,
INHUMT,PRIMARY,DATE,PRIMARY,,
OUTTMP,PRIMARY,,,,
OUTTMPT,PRIMARY,,,,
OUTHUM,PRIMARY,,,,
OUTHUMT,PRIMARY,,,,
ENVWINDS,PRIMARY,,,,
ENVWINDD,PRIMARY,,,,
DRPTAG,PRIMARY,DRPTAG,PRIMARY,,
EPRVTAG,PRIMARY,,,,
VOCLASS,PRIMARY,,,,
DRPHASH,PRIMARY,DRPHASH,PRIMARY,,
INSTERA,PRIMARY,KPFERA,PRIMARY,,
EXTRACT,PRIMARY,,,,
EXSNR1,PRIMARY,SNRSC452,PRIMARY,,
EXSNR2,PRIMARY,SNRSC548,PRIMARY,,
EXSNR3,PRIMARY,SNRSC652,PRIMARY,,
EXSNR4,PRIMARY,SNRSC747,PRIMARY,,
EXSNR5,PRIMARY,SNRSC852,PRIMARY,,
EXSNRW1,PRIMARY,,,4520,
EXSNRW2,PRIMARY,,,5480,
EXSNRW3,PRIMARY,,,6520,
EXSNRW4,PRIMARY,,,7470,
EXSNRW5,PRIMARY,,,8520,
FULLCOMP,PRIMARY,,,,
TELFLAG,PRIMARY,,,,
INSTFLAG,PRIMARY,,,,
DRPFLAG,PRIMARY,,,,
ADDFLAG,PRIMARY,,,,
OBSFLAG,PRIMARY,,,,
SUMMFLAG,PRIMARY,,,,
DQLVL0,PRIMARY,,,,
DQLVL1,PRIMARY,,,,
DQLVL2,PRIMARY,,,,
BJDTDB,PRIMARY,CCFBJD,PRIMARY,,
RV,PRIMARY,CCFRV,PRIMARY,,
RVERR,PRIMARY,CCFERV,PRIMARY,,
BERV,PRIMARY,CCFBCV,PRIMARY,,
RVMETHOD,PRIMARY,,,,CCF
SYSVEL,PRIMARY,TARGRADV,PRIMARY,,
