Keyword,Description,Units,DataType,ExampleValue,PopulatedBy
GDRYBIAS,Guider y-coordinate bias guiding error (mas),,float,1.1,Guider
GDRFRSAT,Guider: fraction of frames within 90% saturated,,float,0.0,Guider
GDRNSAT,Guider: num 90% saturated pix in co-added image,,int,0,Guider
GDRSEEJZ,Seeing in J+Z-band from Moffat fit (arcsec),,float,0.74,Guider
GDRSEEV,Scaled seeing in V-band from J+Z-band (arcsec),,float,0.87,Guider
GDRFWMD,Guider images: median FWHM (mas),,float,742.0,Guider
GDRFWSTD,Guider images: std FWHM (mas),,float,41.5,Guider
GDRFXMD,Guider images: median flux (ADU),,float,151200.0,Guider
GDRFXSTD,Guider images: std flux (ADU),,float,9800.0,Guider
GDRPKMD,Guider images: median peak flux (ADU),,float,2140.0,Guider
GDRPKSTD,Guider images: std peak flux (ADU),,float,180.0,Guider
P16GAMP1,16th percentile of raw GREEN_AMP1 (D.N.),,float,7412.0,DiagL0
P16GAMP2,16th percentile of raw GREEN_AMP2 (D.N.),,float,7398.0,DiagL0
P16GAMP3,16th percentile of raw GREEN_AMP3 (D.N.),,float,7405.0,DiagL0
P16GAMP4,16th percentile of raw GREEN_AMP4 (D.N.),,float,7421.0,DiagL0
P50GAMP1,50th percentile of raw GREEN_AMP1 (D.N.),,float,7460.0,DiagL0
P50GAMP2,50th percentile of raw GREEN_AMP2 (D.N.),,float,7447.0,DiagL0
P50GAMP3,50th percentile of raw GREEN_AMP3 (D.N.),,float,7453.0,DiagL0
P50GAMP4,50th percentile of raw GREEN_AMP4 (D.N.),,float,7469.0,DiagL0
P84GAMP1,84th percentile of raw GREEN_AMP1 (D.N.),,float,7511.0,DiagL0
P84GAMP2,84th percentile of raw GREEN_AMP2 (D.N.),,float,7498.0,DiagL0
P84GAMP3,84th percentile of raw GREEN_AMP3 (D.N.),,float,7504.0,DiagL0
P84GAMP4,84th percentile of raw GREEN_AMP4 (D.N.),,float,7520.0,DiagL0
P16RAMP1,16th percentile of raw RED_AMP1 (D.N.),,float,6812.0,DiagL0
P16RAMP2,16th percentile of raw RED_AMP2 (D.N.),,float,6798.0,DiagL0
P16RAMP3,16th percentile of raw RED_AMP3 (D.N.),,float,6805.0,DiagL0
P16RAMP4,16th percentile of raw RED_AMP4 (D.N.),,float,6821.0,DiagL0
P50RAMP1,50th percentile of raw RED_AMP1 (D.N.),,float,6860.0,DiagL0
P50RAMP2,50th percentile of raw RED_AMP2 (D.N.),,float,6847.0,DiagL0
P50RAMP3,50th percentile of raw RED_AMP3 (D.N.),,float,6853.0,DiagL0
P50RAMP4,50th percentile of raw RED_AMP4 (D.N.),,float,6869.0,DiagL0
P84RAMP1,84th percentile of raw RED_AMP1 (D.N.),,float,6911.0,DiagL0
P84RAMP2,84th percentile of raw RED_AMP2 (D.N.),,float,6898.0,DiagL0
P84RAMP3,84th percentile of raw RED_AMP3 (D.N.),,float,6904.0,DiagL0
P84RAMP4,84th percentile of raw RED_AMP4 (D.N.),,float,6920.0,DiagL0
